image_link,group_id,entity_name,entity_value
https://m.media-amazon.com/images/I/71TSgGhzh7S.jpg,318770,wattage,11801.0 watt
https://m.media-amazon.com/images/I/615skW6I6+L.jpg,178778,depth,23.0 centimetre
https://m.media-amazon.com/images/I/514yWCthHaL.jpg,846116,height,194.0 millimetre
https://m.media-amazon.com/images/I/51AdlvkgOmL.jpg,442321,width,42.0 inch
https://m.media-amazon.com/images/I/517BmR7pRPL.jpg,705487,depth,540.0 centimetre
https://m.media-amazon.com/images/I/61Ho6ZywlVL.jpg,752266,wattage,50.0 watt
https://m.media-amazon.com/images/I/619xxisNejL.jpg,997176,wattage,2020.0 watt
https://m.media-amazon.com/images/I/71lr4Ii-eAL.jpg,752266,wattage,300.0 watt
https://m.media-amazon.com/images/I/61620XupLCL.jpg,299791,item_weight,6.0 gram
https://m.media-amazon.com/images/I/61AUPmlpOvL.jpg,881883,width,52.0 inch
https://m.media-amazon.com/images/I/61d1Yak6dJL.jpg,625842,item_volume,200.0 millilitre
https://m.media-amazon.com/images/I/51dh8OHXrgL.jpg,192915,width,8.6 centimetre
https://m.media-amazon.com/images/I/51re27u3VnL.jpg,208023,depth,14.0 inch
https://m.media-amazon.com/images/I/71nGSoCQwdL.jpg,801829,maximum_weight_recommendation,50 kilogram
https://m.media-amazon.com/images/I/A17s9sLD-ML.jpg,120219,maximum_weight_recommendation,3127.0 ton
https://m.media-amazon.com/images/I/515GzUnEyVL.jpg,483370,height,24.0 inch
https://m.media-amazon.com/images/I/7194DJISKfL.jpg,752266,wattage,60.0 watt
https://m.media-amazon.com/images/I/81dA+tnHuoL.jpg,884560,item_volume,250.0 millilitre
https://m.media-amazon.com/images/I/610G78sYT6L.jpg,653767,depth,45.0 centimetre
https://m.media-amazon.com/images/I/512qGe3h0oL.jpg,483370,height,60.0 centimetre
https://m.media-amazon.com/images/I/61+AdeHMpdL.jpg,675317,depth,152.0 millimetre
https://m.media-amazon.com/images/I/41jSl+8vY0L.jpg,748919,item_weight,4.0 gram
https://m.media-amazon.com/images/I/51ac56Z7xIL.jpg,276611,width,380.0 millimetre
https://m.media-amazon.com/images/I/51Ah2K+1YNL.jpg,145452,height,29.0 centimetre
https://m.media-amazon.com/images/I/51DZJVkuv3L.jpg,120219,height,17.1 centimetre
https://m.media-amazon.com/images/I/71mFXIFhmGL.jpg,611510,maximum_weight_recommendation,130 kilogram
https://m.media-amazon.com/images/I/51jeBcbLAtL.jpg,459516,item_volume,100.0 millilitre
https://m.media-amazon.com/images/I/81V+zTmzvqL.jpg,459516,item_volume,30.0 millilitre
https://m.media-amazon.com/images/I/714oCpj0yuL.jpg,752266,wattage,30.0 watt
https://m.media-amazon.com/images/I/61EORGMiVdL.jpg,913156,width,10.0 centimetre
https://m.media-amazon.com/images/I/6145hKeRZcL.jpg,750883,depth,175.0 millimetre
https://m.media-amazon.com/images/I/51+S4sckamL.jpg,358831,depth,28.0 millimetre
https://m.media-amazon.com/images/I/51snBTbweyL.jpg,277073,width,7.5 centimetre
https://m.media-amazon.com/images/I/610O8wF3OJL.jpg,955322,width,2.0 inch
https://m.media-amazon.com/images/I/61GSesH3ooL.jpg,120219,maximum_weight_recommendation,59.25 gram
https://m.media-amazon.com/images/I/71Kryww-5oL.jpg,120219,maximum_weight_recommendation,8.0 pound
https://m.media-amazon.com/images/I/51iUrt7o3nL.jpg,357997,width,220.0 centimetre
https://m.media-amazon.com/images/I/71bqIXaS9IL.jpg,752266,voltage,230.0 volt
https://m.media-amazon.com/images/I/81yJFphjw+L.jpg,459516,item_volume,4.0 fluid ounce
https://m.media-amazon.com/images/I/81Rz+jIQB+L.jpg,648011,voltage,220.0 volt
https://m.media-amazon.com/images/I/81RyhM1h8IL.jpg,752266,voltage,230.0 volt
https://m.media-amazon.com/images/I/416QLRZS0vL.jpg,969033,maximum_weight_recommendation,120 pound
https://m.media-amazon.com/images/I/81qz6ps15wL.jpg,449021,item_weight,6.0 ounce
https://m.media-amazon.com/images/I/61-gvpxx10L.jpg,730429,width,30.0 centimetre
